source,target,len
pizarromariajo,adrianaruizh,1
ivancepedacast,adrianaruizh,2
petrogustavo,adrianaruizh,2
alvarouribevel,aforerom,1
palomavalencial,aforerom,1
cedemocratico,aforerom,8
alvarouribevel,aida_quilcue,2
cedemocratico,aida_quilcue,3
gustavobolivar,aida_quilcue,6
pactohistorico,aida_quilcue,8
pizarromariajo,aida_quilcue,13
ivancepedacast,aida_quilcue,21
pizarromariajo,alexlopezmaya,1
gustavobolivar,alexlopezmaya,4
ivancepedacast,alexlopezmaya,6
petrogustavo,andresjrendonc,1
palomavalencial,andresjrendonc,1
pizarromariajo,andresjrendonc,1
alvarouribevel,andresjrendonc,3
palomavalencial,anibalgaviria,3
jdoviedoar,anibalgaviria,3
alvarouribevel,bluradioco,1
palomavalencial,bluradioco,1
pizarromariajo,bluradioco,1
petrogustavo,bluradioco,2
cedemocratico,bluradioco,3
jdoviedoar,bluradioco,4
pizarromariajo,camiloromero,1
ivancepedacast,camiloromero,5
pactohistorico,carolinacorcho,1
petrogustavo,carolinacorcho,1
ivancepedacast,carolinacorcho,3
gustavobolivar,cielo_rusinque,2
petrogustavo,cielo_rusinque,3
ivancepedacast,cristobustos,6
pizarromariajo,cristobustos,7
abdelaespriella,danielbricen,1
cedemocratico,danielbricen,3
alvarouribevel,danielbricen,3
palomavalencial,danielbricen,6
jdoviedoar,danielsampero,7
petrogustavo,dcoronell,1
ivancepedacast,dcoronell,5
gustavobolivar,delaespriellae,1
abdelaespriella,delaespriellae,4
palomavalencial,diegoasantos,2
jdoviedoar,diegoasantos,17
pactohistorico,elcolombiano,1
gustavobolivar,elcolombiano,1
cedemocratico,elcolombiano,1
pizarromariajo,elcolombiano,1
alvarouribevel,elcolombiano,2
jdoviedoar,elcolombiano,2
ivancepedacast,elcolombiano,3
jdoviedoar,elespectador,1
petrogustavo,elespectador,1
gustavobolivar,elespectador,1
ivancepedacast,elespectador,2
petrogustavo,elizbethcristi7,3
ivancepedacast,elizbethcristi7,3
gustavobolivar,elpaisamericaco,1
pizarromariajo,elpaisamericaco,2
jdoviedoar,elpaisamericaco,2
petrogustavo,elpaisamericaco,3
ivancepedacast,elpaisamericaco,8
abdelaespriella,eltiempo,2
palomavalencial,eltiempo,2
cedemocratico,eltiempo,4
jdoviedoar,eltiempo,8
ivancepedacast,esmehernandezsi,2
pactohistorico,esmehernandezsi,7
palomavalencial,estoescambio,1
jdoviedoar,estoescambio,2
ivancepedacast,estoescambio,3
palomavalencial,gabrieljvallejo,1
cedemocratico,gabrieljvallejo,8
petrogustavo,infopresidencia,6
cedemocratico,isamg6,3
alvarouribevel,isamg6,7
palomavalencial,jbsudarsky,1
jdoviedoar,jbsudarsky,4
pizarromariajo,jdcorreau,2
ivancepedacast,jdcorreau,4
jdoviedoar,jdvalde,6
jdoviedoar,jorgearestrepo,8
ivancepedacast,jorgerojas2022,8
abdelaespriella,jrestrp,27
gustavobolivar,juanmanuelgalan,1
pizarromariajo,juanmanuelgalan,3
jdoviedoar,juanmanuelgalan,5
palomavalencial,juanmanuelgalan,7
cedemocratico,lafm,3
petrogustavo,lafm,3
jdoviedoar,lafm,5
palomavalencial,lcvelez,1
alvarouribevel,lcvelez,2
abdelaespriella,lcvelez,2
gustavobolivar,lunadavid,1
pizarromariajo,lunadavid,2
jdoviedoar,lunadavid,6
pactohistorico,mafecarrascal,3
ivancepedacast,mafecarrascal,6
palomavalencial,mauriciocard,1
jdoviedoar,mauriciocard,4
ivancepedacast,noticiascaracol,1
petrogustavo,noticiascaracol,1
jdoviedoar,noticiascaracol,3
jdoviedoar,noticiasrcn,1
palomavalencial,noticiasrcn,1
gustavobolivar,noticiasrcn,2
abdelaespriella,noticiasrcn,2
alvarouribevel,noticiasrcn,2
petrogustavo,pactocol,1
ivancepedacast,pactocol,3
pizarromariajo,pactocol,9
palomavalencial,revistasemana,1
petrogustavo,revistasemana,1
alvarouribevel,revistasemana,2
gustavobolivar,revistasemana,2
jdoviedoar,revistasemana,4
cedemocratico,revistasemana,6
abdelaespriella,revistasemana,14
jdoviedoar,rincon001a,9
gustavobolivar,rtvcnoticias,1
ivancepedacast,rtvcnoticias,2
petrogustavo,rtvcnoticias,5
abdelaespriella,sofycasas_,1
cedemocratico,sofycasas_,5
cedemocratico,tways,1
jdoviedoar,tways,5
ivancepedacast,ultimahoracr,2
alvarouribevel,ultimahoracr,2
petrogustavo,ultimahoracr,4
jdoviedoar,ultimahoracr,6
jdoviedoar,vickydavilah,1
palomavalencial,vickydavilah,3
cedemocratico,vickydavilah,3
pizarromariajo,westcol,1
petrogustavo,westcol,7
alvarouribevel,yesidlancheros,2
jdoviedoar,yesidlancheros,7
